
 Lista de Imóveis da Caixa;;Data de geração:;10/06/2024;;;;;;;
 8444416434224 ;SP ;IBITINGA ;JARDIM MIRANTE ;RUA  ILHEUS, N. 871, LT 47 QD J ;78.000,00;130.000,00;40.00;Casa, 52.50 de área total, 52.50 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416434224
 8444421933535 ;SP ;IBITINGA ;RESIDENCIAL SANTO EXPEDITO ;RUA MARCELO APARECIDO DA SILVA, N. 248, K 24 ;101.995,20;162.000,00;37.04;Casa, 57.00 de área total, 57.00 de área privativa, 130.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421933535
 1444403877817 ;SP ;IBITINGA ;JARDIM SAO PAULO ;RUA KALIL JOSE SAWAIA, N. 411, QD 03 LT 17 ;104.652,00;162.000,00;35.40;Casa, 0.00 de área total, 105.00 de área privativa, 125.13 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403877817
 1444403870952 ;SP ;IBITINGA ;CENTRO (CAMBARATIBA) ;R CORONEL GERETTO, N. 583, QD 64, LT 11, UN 583 (SALAO COMERCIAL) ;839.800,00;1.300.000,00;35.40;Comercial, 0.00 de área total, 645.00 de área privativa, 0.00 de área do terreno, WC, 2 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403870952
 8444423104676 ;SP ;IBITINGA ;JARDIM MARIA LUIZA II ;RUA JOAO CANCIO DE TOLEDO PIZA, N. 551, QD 26 LT 25 ;81.072,00;120.000,00;32.44;Casa, 53.34 de área total, 53.34 de área privativa, 168.57 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423104676
 8444420295292 ;SP ;IBITINGA ;JARDIM ADRIANA ;RUA QUATRO, N. 139, 0 ;140.000,00;140.000,00;0.00;Casa, 0.00 de área total, 51.72 de área privativa, 130.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420295292
 8444416722548 ;SP ;IBITINGA ;JARDIM TAQUARAL ;AVENIDA ESTANISLAU ZAVITOSK, N. 163, LT 1D QD 11 ;180.000,00;180.000,00;0.00;Casa, 0.00 de área total, 99.56 de área privativa, 154.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416722548
 8444417462787 ;SP ;IBITINGA ;JARDIM MIRANTE ;RUA ALAGOAS, N. 505, LT 01, QD I, RUA RECIFE ;150.000,00;150.000,00;0.00;Casa, 0.00 de área total, 51.76 de área privativa, 152.73 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417462787
 8555538816379 ;SP ;IBITINGA ;JARDIM MIRANTE ;RUA ALAGOAS, N. 972, LT 23A  QD L ;160.000,00;160.000,00;0.00;Casa, 0.00 de área total, 58.19 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538816379
 8787705073444 ;SP ;IBITINGA ;JARDIM MIRANTE ;RUA PARAIBA, N. 92, LT 11 QD M ;160.000,00;160.000,00;0.00;Casa, 0.00 de área total, 48.76 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705073444
 8444424396590 ;SP ;IBITINGA ;RESIDENCIAL SAO BENEDITO ;RUA GIACOMO MOREALE, N. 342, LT 10A  QD G ;153.000,00;153.000,00;0.00;Casa, 0.00 de área total, 53.84 de área privativa, 133.34 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424396590
 8444425144810 ;SP ;IBITINGA ;RESIDENCIAL SAO BENEDITO ;RUA JOAQUIM MAZZETO, N. 763, LT 27 QD S ;140.000,00;140.000,00;0.00;Casa, 0.00 de área total, 43.17 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425144810
 8444416644750 ;SP ;IBITINGA ;RESIDENCIAL SANTO EXPEDITO ;RUA MARCELO APARECIDO DA SILVA, N. 371, L29 Q19 ;142.000,00;142.000,00;0.00;Casa, 0.00 de área total, 52.92 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416644750
 8444422031209 ;SP ;IBITINGA ;RESIDENCIAL SANTO EXPEDITO ;RUA ARIDIONETA GARCIA GERMANO, N. 1871, LT 24, QD V ;136.000,00;136.000,00;0.00;Casa, 0.00 de área total, 53.76 de área privativa, 134.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422031209
 8444423249321 ;SP ;IBITINGA ;RESIDENCIAL SANTO EXPEDITO ;RUA ANTONIA GARCIA DA SILVA, N. 39, LT 48  QD I ;143.000,00;143.000,00;0.00;Casa, 0.00 de área total, 51.80 de área privativa, 130.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423249321
 8444426530455 ;SP ;IBITINGA ;RESIDENCIAL SANTO EXPEDITO ;RUA INES SORIA SILVA, N. 496, LT 49A QD 12 ;192.000,00;192.000,00;0.00;Casa, 0.00 de área total, 57.10 de área privativa, 130.07 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426530455
 8555537257600 ;SP ;IBITINGA ;RESIDENCIAL SANTO EXPEDITO ;RUA THEREZA ROCHA DE SOUZA, N. 63, LT 46 QD K ;160.000,00;160.000,00;0.00;Casa, 47.21 de área total, 0.00 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537257600
 8444426110863 ;SP ;IBITINGA ;JARDIM MIRANTE ;RUA ALAGOAS, N. 350, LT 19 QD B ;146.122,95;145.000,00;0.00;Casa, 0.00 de área total, 55.46 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426110863
 8444422661288 ;SP ;IBITINGA ;RESIDENCIAL DO LAGO ;RUA A, N. 96, LT 24 QD 9 ;150.115,64;145.000,00;0.00;Casa, 0.00 de área total, 53.30 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422661288
 8444428750088 ;SP ;IBITINGA ;RESIDENCIAL SANTA ISABEL ;RUA CALIXTO RAZZA, N. 36, LT 09 QD A2 ;168.354,70;160.000,00;0.00;Casa, 0.00 de área total, 55.25 de área privativa, 140.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428750088
 8444415876584 ;SP ;IBITINGA ;RESIDENCIAL SAO BENEDITO ;RUA GIACOMO MOREALE, N. 133, LT 40, QD H ;139.580,00;115.000,00;0.00;Casa, 0.00 de área total, 54.39 de área privativa, 133.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415876584
 8444408481162 ;SP ;IGUAPE ;JARDIM PRIMAVERA ;RUA I, N. SN, LT 8 QD R ;96.500,00;96.500,00;0.00;Casa, 0.00 de área total, 61.25 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408481162
 1444408529060 ;SP ;INDAIATUBA ;NUCLEO HABITACIONAL ;RUA COMENDADOR ANTONIO NAGIB IBRAHIM, N. 140, Apto 26, BL D ;353.600,00;353.600,00;0.00;Apartamento, 0.00 de área total, 63.15 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 2 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408529060
 8444408901358 ;SP ;INDAIATUBA ;JARDIM MORUMBI ;RUA AUGUSTA STEFFEN, N. 126, Apto 33, 3 ANDAR BL 01 ;185.000,00;185.000,00;0.00;Apartamento, 0.00 de área total, 42.48 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408901358
 1444406244793 ;SP ;INDAIATUBA ;JARDIM DOS COLIBRIS ;RUA OLGA BENATI MADEIRA, N. 192, QD 16 ;323.400,00;323.400,00;0.00;Casa, 0.00 de área total, 77.00 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406244793
 8444418050423 ;SP ;INDAIATUBA ;PARQUE RESIDENCIAL SABIAS ;RUA GERALDO ANTONIO DE SOUZA ANTIGA RUA 22, N. 100, LT 12 QD 18 ;245.000,00;245.000,00;0.00;Casa, 0.00 de área total, 49.48 de área privativa, 150.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418050423
 1444417810396 ;SP ;INDAIATUBA ;RESIDENCIAL MILANO ;RUA FELICIANO MARTINS TAMAJO ANTIGA RUA 05, N. SN, LT 13 QD F ;1.183.000,00;1.183.000,00;0.00;Casa, 0.00 de área total, 191.86 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, 3 suite(s), WC, 2 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417810396
 8444410400239 ;SP ;INDAIATUBA ;JARDIM REGENTE ;RUA LUIZ DA SILVA, N. 171, CS 03 ;335.214,00;325.000,00;0.00;Casa, 0.00 de área total, 50.29 de área privativa, 89.16 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410400239
 8444424400589 ;SP ;IPAUSSU ;JARDIM DEMETRIO TRABULCI ;RUA PROFESSORA ELZA PIRES CORREA PEDRO, N. SN, LT 5 QD D ;122.166,99;90.000,00;0.00;Casa, 0.00 de área total, 33.15 de área privativa, 200.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424400589
 8787704323161 ;SP ;IPERO ;LOT JARDIM NOVA BACA ;RUA DEZESSEIS, N. 121, LT 13 QD J ;185.440,00;185.440,00;0.00;Casa, 0.00 de área total, 50.00 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704323161
 8444427095752 ;SP ;IPERO ;LOT RES NARITA PARK ;RUA  ANIZIO JOAQUIM DA SILVA, N. 33, LT 3 QD K ;259.311,29;243.224,00;0.00;Casa, 0.00 de área total, 95.45 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427095752
 8444408198754 ;SP ;IPIGUA ;JARDIM DOS JATOBAS ;RUA RUA EDEM JORGE ESTEVAM, N. 180, 1011, N. 180, LT11 QD10 ;208.870,81;368.573,87;43.34;Casa, 152.00 de área total, 47.09 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408198754
 10165414 ;SP ;IPIGUA ;ESTANCIA BACURI ;RUA XAVANTES, N. S/N, LT 12, QD I ;764.066,44;764.066,44;0.00;Casa, 0.00 de área total, 331.00 de área privativa, 1000.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10165414
 8444421497573 ;SP ;IPUA ;CENTRO ;RUA CLEY NASCIMENTO HONORIO, N. 1840, LT 29  QD 18 ;150.000,00;150.000,00;0.00;Casa, 0.00 de área total, 41.08 de área privativa, 250.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421497573
 8444425344526 ;SP ;ITAJOBI ;CENTRO ;RUA PROJETADA, N. 6, QD C LT 10 R CARLOS DONIZETE MESQUITA ;146.944,16;47.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 160.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425344526
 1444406410979 ;SP ;ITANHAEM ;CENTRO ;RUA MANOEL JORGE N 134 LOTE 25 QUADRA 15 PARQUE BA, N. 134 ;210.000,00;300.000,00;30.00;Casa, 0.00 de área total, 139.40 de área privativa, 0.00 de área do terreno, varanda.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406410979
 1444416792505 ;SP ;ITANHAEM ;JARDIM BOPIRANGA ;AVENIDA ALBERT SABIN (ANTIGA AV DO TELEGRAFO), N. 58, (ANTIGO Nº 100), QD 15, LT 10 ;288.479,80;391.000,00;26.22;Casa, 149.33 de área total, 149.33 de área privativa, 364.50 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, churrasqueira, 1 sala(s), DCE, cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416792505
 1444404029550 ;SP ;ITANHAEM ;JARDIM CIBRATEL ;RUA SAO SEBASTIAO, N. 407, CASA ;261.600,00;327.000,00;20.00;Casa, 0.00 de área total, 231.33 de área privativa, 307.60 de área do terreno,  3 qto(s), WC, WC Emp, 2 sala(s), 1 lavabo(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404029550
 8444417514310 ;SP ;ITANHAEM ;JARDIM MAGALHAES  GL ;RUA JOSE MANOEL LORENZO LEIRO, N. 1895, LOTE 39   QUADRA 38 ;197.161,48;203.000,00;2.88;Casa, 0.00 de área total, 49.68 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417514310
 1444408795070 ;SP ;ITANHAEM ;ESTANCIA BALNEARIA D ;RUA AFANASI PETECOF ESQ AV PE JOAO DANIEL, N. 1461, QD 7,2 LT 04, CS 1 ;290.000,00;290.000,00;0.00;Casa, 0.00 de área total, 67.10 de área privativa, 158.14 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408795070
 1555539061977 ;SP ;ITANHAEM ;JD IBERA ;AVENIDA RUI BARBOSA, N. 1873, Apto 61, ED MALIBU ;430.000,00;430.000,00;0.00;Apartamento, 0.00 de área total, 91.15 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555539061977
 8444400078539 ;SP ;ITANHAEM ;LOT JARDIM MAGALHAES ;RUA TIMOTEO GARCIA LAMAS, N. 652, CASA ;220.000,00;220.000,00;0.00;Casa, 0.00 de área total, 49.90 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400078539
 8444410663345 ;SP ;ITANHAEM ;JARDIM JAMAICA ;RUA MANOEL ALVES DE OLIVEIRA, N. 441, LT 16 QD 20 ;367.000,00;367.000,00;0.00;Casa, 0.00 de área total, 167.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410663345
 8444415774587 ;SP ;ITANHAEM ;CENTRO ;RUA JOSE MANOEL LORENZO LEIRO, N. 1990, LT 20 QD 37 ;195.000,00;195.000,00;0.00;Casa, 0.00 de área total, 63.27 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415774587
 8444416186883 ;SP ;ITANHAEM ;LOT JARDIM MAGALHAES ;RUA JOSE MANOEL LORENZO LEIRO, N. 1934, LT 15 QD 37 CS 02 ;226.000,00;226.000,00;0.00;Casa, 0.00 de área total, 62.86 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416186883
 8555516615826 ;SP ;ITANHAEM ;JD SUARAO ;AVENIDA CABUCU, N. 1047, LT 07  QD 23S ;169.000,00;169.000,00;0.00;Casa, 0.00 de área total, 49.68 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516615826
 1444402808595 ;SP ;ITANHAEM ;CENTRO ;AVENIDA MARGINAL DIREITA, N. 395, QD 149, LT 04 ;342.000,00;342.000,00;0.00;Casa, 0.00 de área total, 233.20 de área privativa, 390.24 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402808595
 1444415478157 ;SP ;ITANHAEM ;CENTRO ;AVENIDA BENEDITO RIBEIRO, N. 1251, CS 01 ;224.000,00;224.000,00;0.00;Casa, 0.00 de área total, 55.47 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415478157
 8444413247768 ;SP ;ITANHAEM ;JARDIM MAGALHAES ;RUA JOSE MANOEL LORENZO LEIRO, N. 1821, CS 01, LT 27P, QD 35 ;178.392,93;172.000,00;0.00;Casa, 0.00 de área total, 49.68 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413247768
 1444407194790 ;SP ;ITANHAEM ;ESTANCIA BALNEARIA T ;  GUARANIS, N. 192, Q 20 ;452.751,54;317.000,00;0.00;Casa, 0.00 de área total, 122.31 de área privativa, 250.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407194790
 1444406831010 ;SP ;ITAPECERICA DA SERRA ;PARQUE PARAISO ;RUA JOSE RUFINO FILHO, N. 270, Apto 3, BL 02 ;161.500,00;250.000,00;35.40;Apartamento, 101.85 de área total, 42.90 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406831010
 10006809 ;SP ;ITAPETININGA ;VILA RECREIO ;RUA HERCULANO FERREIRA, N. 310, LT 18 ;83.270,60;1.421.000,00;94.14;Comercial, 1123.00 de área total, 0.00 de área privativa, 2000.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006809
 8787704820190 ;SP ;ITAPETININGA ;VILA BELO HORIZONTE ;RUA SANTINO LEME DE ALMEIDA N 299 CASA 17 CONDOMIN, N. 299, CS 17 ;87.000,00;145.000,00;40.00;Casa, 0.00 de área total, 44.85 de área privativa, 98.51 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704820190
 10164534 ;SP ;ITAPETININGA ;JARDIM BELA VISTA ;RUA JOSE GONÇALVES DE ALBUQUERQUE, N. S/N, QD28,LTS 11, 12, 13, 14, 20, 21, 22 e ;864.435,00;864.435,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 2650.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10164534
 8030705854014 ;SP ;ITAPETININGA ;VILA NOVA ITAPETININGA ;RUA BRIGADEIRO JOSE VICENTE DE FARIA LIMA, N. 911, LT 23 QD 58 ;175.000,00;175.000,00;0.00;Casa, 0.00 de área total, 89.32 de área privativa, 137.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8030705854014
 8787703747804 ;SP ;ITAPETININGA ;VALE SAN FERNANDO ;RUA OSVALDO SOLANE, N. 98, LT 13, QD M ;128.000,00;128.000,00;0.00;Casa, 0.00 de área total, 45.47 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703747804
 1444406855733 ;SP ;ITAPETININGA ;CAMBUI ;RUA ELISA LUCAS BLOES, N. 43, QD R LT 5 ;259.000,00;259.000,00;0.00;Casa, 0.00 de área total, 124.41 de área privativa, 162.03 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406855733
 8787702551604 ;SP ;ITAPETININGA ;CAMBUI ;RUA 20 (RUA TADAO TOYOTA), N. 103, Apto 317, BL 03 ;155.000,00;155.000,00;0.00;Apartamento, 0.00 de área total, 44.11 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702551604
 8444422455130 ;SP ;ITAPETININGA ;CHACARA BARRO BRANCO ;RUA DOLORES FRANCA DE MORAIS, N. 327, CASA ;162.000,00;162.000,00;0.00;Casa, 0.00 de área total, 43.84 de área privativa, 156.22 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422455130
 8787704754170 ;SP ;ITAPETININGA ;VIDA NOVA ITAPETININGA ;RUA JOSE ROBERTO DA SILVA, N. 111, LT 29 QD S ;141.000,00;141.000,00;0.00;Casa, 0.00 de área total, 45.47 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704754170
 8787704963160 ;SP ;ITAPETININGA ;VIDA NOVA ITAPETININGA ;RUA JANETE DE OLIVEIRA SIQUEIRA, N. 81, LT 39 QD F ;161.941,11;161.941,11;0.00;Casa, 0.00 de área total, 45.47 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704963160
